case,clean_fit_mse,final_error_percent,model,omega,run_idx,s_r,test_rel_rmse_percent,train_rel_rmse_percent,used_fit_mse
narrow_centered,0.0010133634315125726,6.0055688787198385,C_balanced_phys010_res005,0.1,2,0.05,8.461619065332153,3.0233260813243934,0.001045496878181756
narrow_centered,0.0008615819518261681,6.19474508377893,C_balanced_phys010_res005,0.1,3,0.05,13.356338147844696,2.3030998672195127,0.0006413217643305052
narrow_centered,0.0007691810311301337,-14.501155111983241,C_balanced_phys010_res005,0.1,4,0.05,9.311067953755222,2.6916714307133214,0.0012169024784914743
narrow_centered,0.0005646441230753668,0.8484779569623256,C_balanced_phys010_res005,0.1,5,0.05,10.719317804917806,2.158458553018233,0.0006957718332416451
narrow_centered,0.0007958165368719659,-10.599047881747712,C_balanced_phys010_res005,0.1,6,0.05,10.429326938357287,2.850944883377886,0.0012953891433791704
narrow_centered,0.0005462141339021772,-0.14143126507503812,C_balanced_phys010_res005,0.1,7,0.05,9.85034418232185,2.3481734408396413,0.0012408740998822165
narrow_centered,0.0007159347775954907,-6.637989787159097,C_balanced_phys010_res005,0.1,8,0.05,8.559904960193817,2.3056842335751084,0.0005709141047361255
narrow_centered,0.0014583776513632954,7.398555609200488,C_balanced_phys010_res005,0.1,9,0.05,12.030382301057099,3.5062632399159375,0.001434860149351882
narrow_centered,0.0005522960088229538,-5.276999670140895,C_balanced_phys010_res005,0.1,10,0.05,8.799253776115274,2.0870783451733868,0.000844230579031734
narrow_centered,0.0007101016008961243,10.41077345412718,C_balanced_phys010_res005,0.1,11,0.05,14.536321457744675,2.5629934864302846,0.001081057844798548
narrow_centered,0.0008331934345812524,-1.4879075546905896,C_balanced_phys010_res005,0.1,12,0.05,7.362261040879771,2.574141949877108,0.0007640606097589773
narrow_centered,0.002083661929062825,-28.18547006726221,C_balanced_phys010_res005,0.1,13,0.05,21.682267783214787,5.197792563126762,0.002551110974897069
narrow_centered,0.0006743448413440994,-2.309014442060376,C_balanced_phys010_res005,0.1,14,0.05,6.523777604902604,2.5016090615111035,0.0009520278166800508
narrow_centered,0.000549748319028264,-1.3775693698421385,C_balanced_phys010_res005,0.1,15,0.05,5.908500500277126,1.9851215952006247,0.00044582971333802566
narrow_centered,0.0007104233093094684,3.089798385842416,C_balanced_phys010_res005,0.1,16,0.05,10.019965079117998,2.3758709019676543,0.0006256077886488437
