case,clean_fit_mse,final_error_percent,model,n_points,run_idx,test_rel_rmse_percent,train_rel_rmse_percent,used_fit_mse
strong_shift_full_beam,0.0035650906289809783,-1.075275030850187,PI-NODE-2state,5,3,14.074964053483807,8.242353348414923,0.0041596439891739435
strong_shift_full_beam,0.007267778367806332,-18.495824152815196,PI-NODE-2state,5,4,15.576572121290841,11.679805076450526,0.007983921079521953
strong_shift_full_beam,0.00278099912125815,-3.3421707013894726,PI-NODE-2state,5,5,12.22659300288873,7.2097142907430465,0.002223948963474588
strong_shift_full_beam,0.003919105146386948,-8.003938362527046,PI-NODE-2state,5,6,12.44684175266324,8.6236074009009,0.0037982025886437384
strong_shift_full_beam,0.0016382920796473668,-1.042467658840232,PI-NODE-2state,5,7,14.159178569365416,5.704689832125563,0.0009422838197618447
strong_shift_full_beam,0.001867149072711143,-3.349085061809722,PI-NODE-2state,5,8,12.900705719300424,5.8926255997979355,0.0020335415156284885
strong_shift_full_beam,0.0014937316135136226,4.736735634488511,PI-NODE-2state,5,9,16.705440023807846,5.736914301383083,0.0029069875359333313
strong_shift_full_beam,0.0036826240358266023,-14.234306430199075,PI-NODE-2state,5,10,13.09990072360327,8.468380277661163,0.004827055472847512
strong_shift_full_beam,0.0038927098339978454,-3.4368213480992016,PI-NODE-2state,5,11,12.980831258365827,8.63234568481534,0.0031047875937719924
strong_shift_full_beam,0.0039982844140250325,-7.821038642032556,PI-NODE-2state,5,12,11.222799539186964,8.33468294099446,0.005590891120964071
strong_shift_full_beam,0.002593483164406908,14.266224059169677,PI-NODE-2state,5,13,22.21868712942672,6.482622231867069,0.0016709006028647027
strong_shift_full_beam,0.0028128979979537673,-8.597382368356866,PI-NODE-2state,5,14,12.173627897004389,7.319706792533546,0.0022127590774942557
strong_shift_full_beam,0.0006058782341229133,13.140418411732941,PI-NODE-2state,5,15,22.09676288905494,3.344549226618016,0.0008936007295656317
strong_shift_full_beam,0.001426936393475598,18.463604747967345,PI-NODE-2state,5,16,25.18977190011035,4.890203850165143,0.001505870303938404
strong_shift_full_beam,0.0017846527979923474,5.695185087766229,PI-NODE-2state,5,17,17.25493651103414,5.696164704421986,0.001945062255016353
strong_shift_full_beam,0.0027059611862719686,6.016752471904141,PI-NODE-2state,5,18,17.684774667367783,7.323177458806102,0.0022549475532295136
strong_shift_full_beam,0.0021063809290050935,1.642939801665373,PI-NODE-2state,5,19,15.306760628206778,6.319038527223501,0.0009191595411995334
full_cover,0.0009942241474524983,4.171981378083005,PI-NODE-2state,8,0,19.442800924185637,5.18937441700968,0.0006511259455535673
full_cover,0.0007626829313311862,29.044294561979015,PI-NODE-2state,8,1,34.03426561219096,4.227759360477818,0.0007005631030290043
full_cover,0.0015024583220356901,7.256145598500508,PI-NODE-2state,8,2,20.592098297833257,6.250112856472104,0.000910405588333972
full_cover,0.0021557807347560975,15.367376210562679,PI-NODE-2state,8,3,25.05564941776568,6.75162364319635,0.0018707220760390076
full_cover,0.0020547158431549507,-7.777332765816656,PI-NODE-2state,8,4,16.516083391978803,7.430132008501099,0.0018144504014442372
full_cover,0.003964622828776033,12.217670335896452,PI-NODE-2state,8,5,22.39385843066865,8.13276534086565,0.002358958082704723
full_cover,0.0007545387418986301,14.440253852980483,PI-NODE-2state,8,6,25.314422567985485,4.32499676303674,0.001276444777074543
full_cover,0.0009987967825666783,7.338771766258902,PI-NODE-2state,8,7,22.16660137872353,4.584551407669868,0.0004826807683944877
full_cover,0.0005544633642343022,17.667787339552508,PI-NODE-2state,8,8,26.947868929947184,3.9643859931997913,0.0004537213128530647
full_cover,0.0014529866121272507,38.6324792986092,PI-NODE-2state,8,9,40.9730195468143,5.894793794870026,0.0014749605641347883
full_cover,0.0009607440517722342,-7.121097159485621,PI-NODE-2state,8,10,16.154624211320368,4.559868321414572,0.0009498457252651817
full_cover,0.000643573187582315,18.709206333520225,PI-NODE-2state,8,11,27.049739530782368,3.397673674985629,0.000554184729390579
full_cover,0.002443191869725897,14.653400739929468,PI-NODE-2state,8,12,24.059061447771235,7.39318323106159,0.0019152785046424809
full_cover,0.0020305817448878667,45.43469696757204,PI-NODE-2state,8,13,43.90693883805265,6.07303596723283,0.002802916778318091
full_cover,0.0005465248072119446,20.63946679208745,PI-NODE-2state,8,14,28.50787903824913,4.131026512136343,0.00041280819317068607
full_cover,0.0010958911593211874,14.751655307697435,PI-NODE-2state,8,15,26.77118602975435,4.87065484792878,0.001505083368620959
full_cover,0.0010846023570511103,33.21339571392398,PI-NODE-2state,8,16,36.577000592474654,4.684554231560163,0.0002596099465322067
full_cover,0.002494646747515959,48.67036317897699,PI-NODE-2state,8,17,49.124315313484225,6.332098416555304,0.00219276270442595
full_cover,0.00042785582732911265,5.81544539073607,PI-NODE-2state,8,18,21.786104033580074,3.694911348868821,0.0005074598674420362
full_cover,0.0030064731134100235,17.39170491058509,PI-NODE-2state,8,19,24.20992452704397,7.6969316941460715,0.0012291347799609125
narrow_centered,0.0006359912938757673,2.9920466388421385,PI-NODE-2state,8,0,13.96103635856296,3.2021346511228246,0.0005876005026248484
narrow_centered,0.0010403666594979162,6.538277936137701,PI-NODE-2state,8,1,16.31467299902943,3.3789923295418904,0.0012159500093733514
narrow_centered,0.001868561388472114,-2.354677999636387,PI-NODE-2state,8,2,11.105318760404957,4.8843745860167544,0.002166106135752742
narrow_centered,0.0021069252473458456,6.067225875881735,PI-NODE-2state,8,3,15.906738617429998,5.185207979137084,0.0019537146079059604
narrow_centered,0.0018220336298610633,1.0996907965198,PI-NODE-2state,8,4,12.776575528295043,5.276047588772424,0.0020310266252693814
narrow_centered,0.0016834581311325422,-4.29666899013184,PI-NODE-2state,8,5,10.554113896581327,4.747878734645443,0.001717680491216646
narrow_centered,0.0007162399701334044,1.6875640792165487,PI-NODE-2state,8,6,13.50988415611284,3.4012053339021167,0.00029071037712083306
narrow_centered,0.00023647613810186025,6.720279968966239,PI-NODE-2state,8,7,16.6383764051315,1.7774239249348405,0.0003378876094799311
narrow_centered,0.00060260943420909,-1.4208480262017515,PI-NODE-2state,8,8,12.0027483206907,3.230160550794313,0.0005316597972288577
narrow_centered,0.0013818425139753173,4.371385893790586,PI-NODE-2state,8,9,15.105714313766603,4.600025026093565,0.0013448021471271366
narrow_centered,0.0012369518066282432,-9.808837632993628,PI-NODE-2state,8,10,10.167068163997097,4.246691134232685,0.0013876866155369957
narrow_centered,0.0006915216884016369,0.1714483059350112,PI-NODE-2state,8,11,12.09735991914343,3.1799304996705127,0.0004620033126053902
narrow_centered,0.002195603766790021,6.9691371101793536,PI-NODE-2state,8,12,15.662475389996471,4.9792182394470865,0.0020499299021838184
