case,clean_fit_mse,final_error_percent,model,run_idx,test_rel_rmse_percent,train_rel_rmse_percent,used_fit_mse
narrow_centered,0.0004915091635318205,-10.952149541844113,PI-NODE-2state,15,7.9083118734480315,2.0066754059394345,0.00037690988823567667
narrow_centered,0.000672674758547865,3.6004398062905882,PI-NODE-2state,16,10.977129563683452,2.3111150989545917,0.0005775714330261675
narrow_centered,0.0016817541669362438,-22.200526394694243,PI-NODE-2state,17,17.85581443211601,3.998223147486108,0.0018447237366363868
narrow_centered,0.0009538686862177471,3.4170457698949277,PI-NODE-2state,18,11.464750789787747,2.879802620028121,0.0012071274437063604
narrow_centered,0.0018628601523955346,-15.934140042864623,PI-NODE-2state,19,13.24180183254666,4.508302954262143,0.0021897897179740905
slight_shift_full_beam,0.00083517690992137,-17.096066453286436,ODE-2state,0,12.971859135251254,3.429841673270225,0.0008256945568421222
slight_shift_full_beam,0.0006725038555758439,-13.842317714665421,ODE-2state,1,11.611823898606104,3.0543037843998393,0.000984559528800776
slight_shift_full_beam,0.0012579939282338184,-18.346799490840933,ODE-2state,2,18.11017015088798,4.323222660453956,0.001457875192208579
slight_shift_full_beam,0.0008289585457531692,-12.539076529497011,ODE-2state,3,10.776746370667224,3.4042759823043354,0.0010217238620305864
slight_shift_full_beam,0.0009644909378624872,-11.966456148543669,ODE-2state,4,13.3535486074224,3.7200453649430627,0.0014074419661515467
slight_shift_full_beam,0.0017549526305117445,-16.368230061299112,ODE-2state,5,18.43652111092114,4.977127091872995,0.0018512152359515886
slight_shift_full_beam,0.0008763264768792032,-15.190794060997899,ODE-2state,6,13.428016837146695,3.4698876589728456,0.001097403436810393
slight_shift_full_beam,0.0006252549677590491,-14.48766658969492,ODE-2state,7,9.779315288255399,3.084606572891896,0.0004660238315735453
slight_shift_full_beam,0.0008662337540556537,-16.394779867380034,ODE-2state,8,13.067606196028377,3.4389339078708274,0.0008493203704954859
slight_shift_full_beam,0.0022782947274017275,-19.239663832758314,ODE-2state,9,21.28875022990544,5.848637813158495,0.0019234279001893433
slight_shift_full_beam,0.0015698969226460029,-5.976941114989727,ODE-2state,10,13.00989282211445,5.13418457144277,0.0016476657791187298
slight_shift_full_beam,0.0006146200172749494,-16.499035589575225,ODE-2state,11,13.325957440666066,2.960540619687211,0.0009130185449346684
slight_shift_full_beam,0.0015903638936114264,-9.058562056587103,ODE-2state,12,13.43580110987254,5.296723645627933,0.001480455111026173
slight_shift_full_beam,0.000695393415209139,-17.220337739779573,ODE-2state,13,12.484360516035464,2.918180161915707,0.000811394738933479
slight_shift_full_beam,0.0009014992299132407,-15.855479971042998,ODE-2state,14,14.66446495170837,3.5218402649978455,0.001154451048686925
slight_shift_full_beam,0.0014642165427545793,-11.172100205508004,ODE-2state,15,13.005894673855863,4.374832173215454,0.0013489137004033304
slight_shift_full_beam,0.0009103697883262003,-7.381652408167281,ODE-2state,16,7.299711222927456,3.628801428983807,0.0007057483689683623
slight_shift_full_beam,0.001101225892257597,-17.36634290015369,ODE-2state,17,14.76505415891084,3.9766477634108144,0.0009561797533422657
slight_shift_full_beam,0.0006504827225735319,-17.88786204455431,ODE-2state,18,14.622493729288227,3.1673672839886584,0.0009063054135785935
slight_shift_full_beam,0.0006428430606130381,-13.366596421802354,ODE-2state,19,9.708883759271314,2.9121203302259016,0.0006554508864918814
slight_shift_full_beam,0.0018963289547846546,13.494116972035751,NODE-2state,0,17.022175261637987,4.6496585103066765,0.001816794376154994
slight_shift_full_beam,0.002812998855214372,-2.4220057865719054,NODE-2state,1,14.22180041504331,6.384461368404837,0.0032543051514961003
slight_shift_full_beam,0.0013925487468078152,-14.922865172213784,NODE-2state,2,15.468860826409047,4.382274385945998,0.0017309605606137864
slight_shift_full_beam,0.0023563103315418386,17.62194734396881,NODE-2state,3,18.096476546036318,5.511358244844398,0.0026895728332289224
slight_shift_full_beam,0.0018695167462546118,-15.315377366185253,NODE-2state,4,17.876049251640243,5.309231596965539,0.0025175808301058466
slight_shift_full_beam,0.0017136826262640977,-19.921359354357467,NODE-2state,5,16.595740637615307,4.6832969882751145,0.001962089138237231
slight_shift_full_beam,0.0020577399282749732,-24.13908447824219,NODE-2state,6,20.711834472150862,5.240555905417698,0.002369201674012513
slight_shift_full_beam,0.0008496289228645974,21.147068293389967,NODE-2state,7,25.23922775265631,3.1675315757063913,0.0005564115444877366
slight_shift_full_beam,0.00228815916450017,14.373875363354834,NODE-2state,8,17.456672162311925,5.3693161301258,0.002200553291055582
slight_shift_full_beam,0.004280032918198898,-50.88093383037915,NODE-2state,9,35.61156467798821,8.1637583802394,0.0038812728812645005
slight_shift_full_beam,0.0018995986028366816,15.700932405948825,NODE-2state,10,13.699133108822476,4.942239236079411,0.0018462761634888095
slight_shift_full_beam,0.0016427262737727124,-27.765705624207666,NODE-2state,11,26.649899842701032,4.851724838719466,0.0020102847263132476
slight_shift_full_beam,0.0026682201129043025,33.99463851148199,NODE-2state,12,23.710838625708917,5.827005974939635,0.0024094537393969952
slight_shift_full_beam,0.001338810754466176,-7.341940597551595,NODE-2state,13,11.741091731862587,3.797372187445329,0.00143738937272346
slight_shift_full_beam,0.001655660109364112,-43.98723040163519,NODE-2state,14,30.982726956864713,4.672012580446377,0.0019720472382824842
slight_shift_full_beam,0.0026052861980185105,-13.268060155692748,NODE-2state,15,13.615804902492028,5.83323435516677,0.002448494914429576
slight_shift_full_beam,0.0011801254613024554,27.98656553706012,NODE-2state,16,26.998518827268512,3.873867825913604,0.0009150736578155723
slight_shift_full_beam,0.002358419431625679,-39.94000677646879,NODE-2state,17,26.960701949658862,5.601267309827793,0.0021502478790782465
slight_shift_full_beam,0.0013578896445901037,-10.498431752188184,NODE-2state,18,12.32759848725189,4.296820697024806,0.00164843051471671
slight_shift_full_beam,0.001812566617674407,11.326570275172038,NODE-2state,19,16.465139146883047,4.590322865353004,0.0017901691622441616
slight_shift_full_beam,0.0007077756487110654,15.208343324675536,PI-NODE-2state,0,21.42478114085618,2.9893856720470993,0.0007107597052735953
slight_shift_full_beam,0.0008062555650020422,17.478017933954614,PI-NODE-2state,1,23.01772857427686,3.141712854942801,0.001065810540271854
slight_shift_full_beam,0.0007230615755046863,10.98818032752418,PI-NODE-2state,2,19.88104032545116,2.9839559108247666,0.0011985455116666143
slight_shift_full_beam,0.0007831280227262891,21.94266896385791,PI-NODE-2state,3,26.514286443402067,3.2252317008075204,0.0010800534606600011
slight_shift_full_beam,0.0006109143167663468,7.5865734242646035,PI-NODE-2state,4,19.108468228584613,2.8219077828449923,0.0010530147724746208
slight_shift_full_beam,0.00083687056783727,15.158739172819129,PI-NODE-2state,5,22.521198362771432,3.3072522579817765,0.0012048667815530401
